,goodreads_book_id,tag_id,count,tag_name,original_title,book_id
0,1,11305,37174,fantasy,Harry Potter and the Half-Blood Prince,27
1,1,33114,12716,young-adult,Harry Potter and the Half-Blood Prince,27
2,1,11743,9954,fiction,Harry Potter and the Half-Blood Prince,27
3,2,11305,3441,fantasy,Harry Potter and the Order of the Phoenix,21
4,2,6857,1591,children,Harry Potter and the Order of the Phoenix,21
5,2,6888,1098,children-s,Harry Potter and the Order of the Phoenix,21
6,3,11305,47478,fantasy,Harry Potter and the Philosopher's Stone,2
7,3,33114,14984,young-adult,Harry Potter and the Philosopher's Stone,2
8,3,11743,13239,fiction,Harry Potter and the Philosopher's Stone,2
9,5,11305,39330,fantasy,Harry Potter and the Prisoner of Azkaban,18
10,5,33114,12856,young-adult,Harry Potter and the Prisoner of Azkaban,18
11,5,11743,10656,fiction,Harry Potter and the Prisoner of Azkaban,18
12,6,11305,38378,fantasy,Harry Potter and the Goblet of Fire,24
13,6,33114,12979,young-adult,Harry Potter and the Goblet of Fire,24
14,6,11743,10249,fiction,Harry Potter and the Goblet of Fire,24
15,10,11305,253,fantasy,"Harry Potter Collection (Harry Potter, #1-6)",3753
16,10,11743,84,fiction,"Harry Potter Collection (Harry Potter, #1-6)",3753
17,10,14017,79,harry-potter,"Harry Potter Collection (Harry Potter, #1-6)",3753
18,11,26837,10977,science-fiction,The Hitchhiker's Guide to the Galaxy,54
19,11,26771,9773,sci-fi,The Hitchhiker's Guide to the Galaxy,54
20,11,11743,7012,fiction,The Hitchhiker's Guide to the Galaxy,54
21,13,26837,2614,science-fiction,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,337
22,13,26771,2478,sci-fi,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,337
23,13,11743,1979,fiction,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,337
24,21,14552,3160,history,A Short History of Nearly Everything,374
25,21,21773,1845,nonfiction,A Short History of Nearly Everything,374
26,21,21689,1121,non-fiction,A Short History of Nearly Everything,374
27,24,31155,2312,travel,Down Under,1460
28,24,21689,1971,non-fiction,Down Under,1460
29,24,21773,702,nonfiction,Down Under,1460
30,25,15048,603,humor,Notes from a Big Country,1976
31,25,21773,540,nonfiction,Notes from a Big Country,1976
32,25,19733,354,memoir,Notes from a Big Country,1976
33,26,31155,1536,travel,The Lost Continent: Travels in Small-Town America,2321
34,26,21689,1104,non-fiction,The Lost Continent: Travels in Small-Town America,2321
35,26,21773,390,nonfiction,The Lost Continent: Travels in Small-Town America,2321
36,27,31155,1827,travel,Neither Here Nor There: Travels in Europe,2279
37,27,21689,1120,non-fiction,Neither Here Nor There: Travels in Europe,2279
38,27,21773,362,nonfiction,Neither Here Nor There: Travels in Europe,2279
39,28,31155,2191,travel,Notes from a Small Island,1449
40,28,21689,2006,non-fiction,Notes from a Small Island,1449
41,28,21773,653,nonfiction,Notes from a Small Island,1449
42,29,21689,410,non-fiction,The Mother Tongue: English and How It Got That Way,4079
43,29,15048,170,humor,The Mother Tongue: English and How It Got That Way,4079
44,29,21773,167,nonfiction,The Mother Tongue: English and How It Got That Way,4079
45,30,11743,322,fiction,The Hobbit and The Lord of the Rings,964
46,30,7404,108,classic,The Hobbit and The Lord of the Rings,964
47,30,11305,105,fantasy,The Hobbit and The Lord of the Rings,964
48,33,11305,13690,fantasy,The Lord of the Rings,189
49,33,7457,3904,classics,The Lord of the Rings,189
50,33,11743,3758,fiction,The Lord of the Rings,189
51,34,11305,31618,fantasy, The Fellowship of the Ring,19
52,34,7457,7966,classics, The Fellowship of the Ring,19
53,34,11743,7187,fiction, The Fellowship of the Ring,19
54,36,11305,104,fantasy,The Lord of the Rings: Weapons and Warfare,4229
55,36,30909,45,tolkien,The Lord of the Rings: Weapons and Warfare,4229
56,36,2938,31,art,The Lord of the Rings: Weapons and Warfare,4229
57,50,33114,2121,young-adult,Hatchet,388
58,50,11743,1587,fiction,Hatchet,388
