,goodreads_book_id,original_title,book_id,tag_concat
0,1,Harry Potter and the Half-Blood Prince,27,fantasy young-adult fiction harry-potter ya
1,2,Harry Potter and the Order of the Phoenix,21,fantasy children children-s all-time-favorites default
2,3,Harry Potter and the Philosopher's Stone,2,fantasy young-adult fiction harry-potter ya
3,5,Harry Potter and the Prisoner of Azkaban,18,fantasy young-adult fiction harry-potter ya
4,6,Harry Potter and the Goblet of Fire,24,fantasy young-adult fiction harry-potter ya
5,8,0,3275,fantasy harry-potter young-adult fiction magic
6,10,"Harry Potter Collection (Harry Potter, #1-6)",3753,fantasy fiction harry-potter young-adult magic
7,11,The Hitchhiker's Guide to the Galaxy,54,science-fiction sci-fi fiction humor fantasy
8,13,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,337,science-fiction sci-fi fiction humor fantasy
9,21,A Short History of Nearly Everything,374,history nonfiction non-fiction science audiobook
10,24,Down Under,1460,travel non-fiction nonfiction humor australia
11,25,Notes from a Big Country,1976,humor nonfiction memoir essays non-fiction
12,26,The Lost Continent: Travels in Small-Town America,2321,travel non-fiction nonfiction humor memoir
13,27,Neither Here Nor There: Travels in Europe,2279,travel non-fiction nonfiction humor memoir
14,28,Notes from a Small Island,1449,travel non-fiction nonfiction humor memoir
15,29,The Mother Tongue: English and How It Got That Way,4079,non-fiction humor nonfiction history language
16,30,The Hobbit and The Lord of the Rings,964,fiction classic fantasy series sci-fi-fantasy
17,33,The Lord of the Rings,189,fantasy classics fiction classic tolkien
18,34, The Fellowship of the Ring,19,fantasy classics fiction classic adventure
19,36,The Lord of the Rings: Weapons and Warfare,4229,fantasy tolkien art non-fiction fiction
20,50,Hatchet,388,young-adult fiction adventure classics ya
21,67,The Known World,3504,historical-fiction pulitzer fiction book-club pulitzer-prize
22,93,Heidi,639,classics childrens fiction children classic
23,98,What to Expect the First Year,7683,parenting nonfiction baby non-fiction reference
24,105,Chapterhouse: Dune,2817,science-fiction sci-fi fiction dune scifi
25,106,Dune Messiah ,1105,fiction fantasy science-fiction scifi dune
26,112,Children of Dune,1262,science-fiction sci-fi fiction scifi fantasy
27,117,Heretics of Dune,2491,science-fiction sci-fi fiction dune scifi
28,119,The Lord of the Rings: The Art of The Fellowship of the Ring,3230,fantasy art tolkien non-fiction art-books
29,122,The Power of One,1597,fiction historical-fiction africa book-club classics
30,231,0,4081,fiction contemporary-fiction novels contemporary college
31,249,Tropic of Cancer,1999,fiction classics classic unfinished literary-fiction
32,250,Tropic of Capricorn,6787,fiction classics literature 1001-books 1001
33,264,The Portrait of a Lady,1783,classics fiction classic literature 19th-century
34,275,L'Amant,4602,fiction french classics romance 1001-books
35,291,الأجنحة المتكسرة,7242,poetry novels literature classics philosophy
36,295,Treasure Island,293,classics fiction adventure classic young-adult
37,304,Daniel Deronda,5915,classics fiction classic 19th-century victorian
38,320,Cien años de soledad,94,classics literature classic novels latin-america
39,343,Das Parfum. Die Geschichte eines Mörders,397,fiction historical-fiction classics horror mystery
40,348,The Door into Summer,6123,science-fiction sci-fi fiction time-travel scifi
41,350,Stranger in a Strange Land,371,science-fiction sci-fi fiction classics scifi
42,353,Time Enough for Love,4034,science-fiction sci-fi fiction scifi sf
43,355,Job: A Comedy of Justice,7904,science-fiction sci-fi fiction fantasy scifi
44,357,The Long Dark Tea-Time of the Soul,1727,fiction fantasy science-fiction sci-fi mystery
45,359,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,5072,science-fiction sci-fi fantasy humour non-fiction
46,360,Mostly Harmless,1332,science-fiction sci-fi fiction humor fantasy
47,365,Dirk Gently's Holistic Detective Agency,1042,science-fiction fiction sci-fi fantasy humor
48,378,The Phantom Tollbooth,561,fantasy fiction childrens classics young-adult
49,386,Another Bullshit Night in Suck City: A Memoir,9759,memoir non-fiction nonfiction memoirs fiction
50,400,Libra ,9232,fiction historical-fiction novels 1001-books literature
51,415,Gravity's Rainbow,3581,fiction science-fiction historical-fiction novels sci-fi
52,424,Slouching Towards Bethlehem: Essays,5146,nonfiction non-fiction essays memoir history
53,428,Play It as It Lays,5315,classics novels 1001-books to-buy literature
54,431,The New York Trilogy,2337,fiction mystery 1001-books american literature
55,432,City of Glass,8588,fiction mystery literature american contemporary
56,446,The Brooklyn Follies,5150,fiction contemporary american new-york novels
57,447,Moon Palace,6844,fiction 1001-books 1001 american paul-auster
58,449,Timbuktu,9905,fiction 1001-books 1001 dogs 1001-books-to-read-before-you-die
59,456,Leviathan,7462,fiction american literature paul-auster contemporary
60,475,Collapse: How Societies Chose to Fail or Succeed,1969,non-fiction history nonfiction science anthropology
61,597,Killing Yourself to Live: 85% of a True Story,3598,non-fiction music nonfiction memoir humor
62,599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",1392,non-fiction nonfiction essays humor pop-culture
63,621,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,8934,finance non-fiction personal-finance business money
